         98616 function calls (96118 primitive calls) in 0.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      530    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      161    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 typing.py:1476(__getitem__)
        2    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
       78    0.000    0.000    0.000    0.000 enum.py:1543(_get_value)
      367    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
        2    0.000    0.000    0.000    0.000 core.py:2978(__array_finalize__)
       44    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:1(<module>)
      303    0.000    0.000    0.000    0.000 _parser.py:240(__next)
      153    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 threading.py:1441(__init__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 typing.py:1291(__ror__)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
        1    0.000    0.000    0.000    0.000 __init__.py:351(_sanity_check)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__enter__)
        1    0.000    0.000    0.000    0.000 _dtype_like.py:65(_DTypeDictBase)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:33(seterr)
       13    0.000    0.000    0.000    0.000 core.py:8406(_replace_return_type)
        1    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      134    0.000    0.000    0.000    0.000 _parser.py:176(append)
        4    0.000    0.000    0.000    0.000 typing.py:1874(__init__)
